uri,stars,archived_file_percent,archived_file_count,total_file_count,f_0,f_1,f_2,f_3,f_4,f_5
http://web.archive.org/web/20221221173450/https://github.com/RahulNellikkath/Physics-Informed-Neural-Network-for-DC-OPF,23,0.0,0,73,0.0,0.0,0.0,,0.0,
http://web.archive.org/web/20230325172451/https://github.com/Canpu999/DUGMA,14,0.0014388489208633094,1,695,0.034482758620689655,0.0,0.0,0.0,,
http://web.archive.org/web/20240405155656/https://github.com/ddegras/switch-ssm,13,0.0,0,52,0.0,0.0,,,,
http://web.archive.org/web/20240420201048/https://github.com/leoneifler/chvatalip,0,0.0,0,24,0.0,0.0,,,,
http://web.archive.org/web/20230716062854/https://github.com/amrgomaaelhady/ML-PersRef,3,0.0,0,857,0.0,0.0,,,,
http://web.archive.org/web/20201021131047/https://github.com/GilesStrong_cc_by_sa/4,0,0.5,2,4,0.5,,,,,
http://web.archive.org/web/20230919063028/https://github.com/wasimsse/EBSE,0,0.0,0,1,0.0,,,,,
http://web.archive.org/web/20221111013147/https://github.com/ulissigroup/cgcnn,3,0.0,0,55,0.0,0.0,0.0,,,
http://web.archive.org/web/20240425031642/https://github.com/bd-j/prospector,161,0.022388059701492536,3,134,0.0,0.02,0.03389830508474576,0.0,,
http://web.archive.org/web/20220710175820/https://github.com/wangcongcong123/ttt,37,0.0136986301369863,1,73,0.0,0.0,0.0625,0.0,,
http://web.archive.org/web/20220616191527/https://github.com/LAIR-RCC/Russian-Sentiment-Analysis-Evaluation-Datasets,0,0.0,0,15,0.0,0.0,,,,
http://web.archive.org/web/20221225103702/https://github.com/oduwsdl/quality-proxies-framework,1,0.4358974358974359,17,39,0.0,0.0,0.0,0.4444444444444444,1.0,
http://web.archive.org/web/20230315135801/https://github.com/dig-team/amie,112,0.007633587786259542,1,131,0.16666666666666666,0.0,,,0.0,0.0
http://web.archive.org/web/20240415031024/https://github.com/julian-urbano/sigir2019-statistical,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
http://web.archive.org/web/20230331080022/https://github.com/salinelake/cgsp,1,0.0,0,33,0.0,0.0,0.0,0.0,,
http://web.archive.org/web/20240228103236/https://github.com/damonge_fg/rm,1,0.0,0,13,0.0,0.0,,,,
http://web.archive.org/web/20220518012233/https://github.com/AshwiniKV/TEHTree,0,0.0,0,23,0.0,0.0,0.0,,,
http://web.archive.org/web/20231205075336/https://github.com/WeitaoNSun/HGS,1,0.0,0,3,0.0,,0.0,,,
http://web.archive.org/web/20230517112121/https://github.com/logpai/LoggingDescriptions,17,0.0,0,35,0.0,,0.0,,,
